"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B002335","N","Beranger, E.M.","A proposito di CIL X 5779.","SSR","3, 1","1979","53-59","","1980, 0195; 1969/70, 0111.","","10, 05779.","ILS 3071.","Gräf","2005-01-26"
"B002336","N","Degrassi, A.","Iuppiter aeris?","Epigraphica","31","1969","59-64","","1969/70, 0111; 1980, 0195.","","10, 05779.","ILS 3071.","Hildebrandt","2004-07-30"
"B002337","N","Vaz, J.L.","Arula do Mosteiro de Fráguas.","Beira Alta","39","1980","203-204","","1980, 0554.","","","","Grimmig","2005-01-17"
"B002338","N","Bărbulescu-Munteanu, M.","Inscripţii recent descoperite în Scythia Minor.","Pontica","11","1977","127-136","","1978, 0718.","","","","Grimmig","2006-01-25"
"B002339","N","Marković, M.","Narodni život i običaji sezonskih stočara na Velebitu.","ZborNarodŽivotObičaje","48","1980","5-139","","1980, 0498.","","03, 15053.","","Gräf","2008-11-28"
"B002340","N","Russu, I.I.","Inscripţii descoperite in catedrala romana-catolica.","RevMuz","17, 9","1980","34-47","","1980, 0737; 1980, 0738; 1980, 0739; 1980, 0740; 1980, 0741; 1980, 0742; 1980, 0743; 1980, 0744; 1980, 0745; 1980, 0746; 1980, 0747; 1980, 0748; 1980, 0749; 1980, 0750; 1980, 0751; 1980, 0752; 1980, 0753.","","03, 07749.","IDR 3, 5, 227; IDR 3, 5, 252; IDR 3, 5, 341; IDR 3, 5, 377; IDR 3, 5, 479; IDR 3, 5, 484; IDR 3, 5, 493; IDR 3, 5, 529; IDR 3, 5, 530; IDR 3, 5, 549; IDR 3, 5, 550; IDR 3, 5, 557; IDR 3, 5, 561; IDR 3, 5, 565; IDR 3, 5, 575; IDR 3, 5, 590; IDR 3, 5, 624.","Gräf","2013-03-08"
"B002341","N","Moga, V.","Monumente epigrafrice şi sculpturale descoperite la Apulum.","Apulum","15","1977","235-242","","1980, 0750.","","","","König","2003-11-20"
"B002342","J","Giovagnetti, C. - Piolanti, O.","Analisi di Rimini antica: I Signacula.","ASPR","29/30","1978/79","71-112","","1980, 0479.","","","","Admin","2002-04-26"
"B002343","N","Zimmer, G.","Römische Berufsdarstellungen.","","","1982","254","","1985, 0389.","","","","Admin","2002-04-26"
"B002344","N","Davidescu, M.","Drobeta in secolele I-VII e.n.","","","1980","247","Craiova","1980, 0769.","","","ILD 085.","Gräf","2007-09-18"
"B002345","N","de Visscher, F. - de Ruyt, F.","Les fouilles d'Alba Fucens (Italie centrale) en 1949 et 1950.","AC","20","1951","47-84","","1982, 0230; 1951, 0016; 1951, 0017; 1951, 0018; 1951, 0019a; 1951, 0019b; 1951, 0020; 1951, 0021; 1978, 0284.","","","","Gräf","2013-03-12"
"B002346","N","Vilá , M. del V.","Inscripción latina del Turó de Sant Grau (Caldes de Malavella, Girona).","Pyrenae","17/18","1981/82","329-334","","1985, 0634; 1987, 0733.","","","","Feraudi","2004-12-06"
"B002347","N","Rendić-Miočevič, D.","Jedan novi legionarski spomenik iz Varaždinskih Toplica (legio XIIII gemina Martia victrix Severiana). (Mit französischer Zusammenfassung)","BAHD","9","1975","37-47","","1976, 0540.","","","","Gräf","2016-05-18"
"B002348","J","Medini, J.","Bases historiques et religieuses de la diffusion des noms Hilarus-Hilara et de leur derivés à Salone.","BAHD","77","1984","103-120","","1985, 0708.","","","","Grimmig","2004-10-11"
"B002349","N","Laffi, U.","La procuratela quadriennale di Q. Octavius Sagitta in Vindalicis et Raetis et in valle Poenina.","Athenaeum","55","1977","369-379","","1977, 0241.","","","ILS 9007.","Gräf","2004-09-13"
"B002350","J","Cavuoto, P.","Il seplchrum familiare di Ulpia Felicitas.","In: MGR","3","1971","225-240","Roma","1972, 0035.","","","","Gräf","2004-07-02"
"B002351","J","Eck, W.","Statius Silvae 1.4 und C. Rutilius Gallicus als proconsul Asiae II.","AJPh","106","1985","475-484","","1985, 0785.","","","","Admin","2002-04-26"
"B002352","J","Skiljan, D.","La langue grecque des monuments salonitains de la Basse-Antiquité.","BAHD","77","1984","265-272","","1985, 0710.","","","","Gräf","2004-12-08"
"B002353","N","Figuerola, M.G.","Inscripción a Toga en la Sierra de Gata (Conventus Emeritensis).","FichEpigr","12","1985","Nr. 49","","1985, 0539.","","","","Feraudi","2004-12-07"
"B002354","N","Patrício Curado, F.","Estela funerária de Vale do Cunho (Alijó) (Conventus Bracaraugustanus).","FichEpigr","14","1985","Nr. 63","","1985, 0575.","","","","Gräf","2004-12-07"
"B002355","N","Soffredo di Camilli, A.","La collezione epigrafica del Museo di Legnano.","Epigraphica","34","1972","69-76","","1972, 0217; 1972, 0218; 1972, 0219; 1972, 0220; 1972, 0221; 1972, 0222; 1972, 0223; 1972, 0224; 1972, 0225; 1972, 0226; 1972, 0227; 1972, 0228; 1972, 0229; 1972, 0230; 1972, 0231; 1972, 0232.","","","","Gräf","2004-12-08"
"B002356","N","Donati, A.","Nuovi documenti per la storia del popolamento antico di Bologna.","ASPR","28","1977","5-13","","1980, 0480; 1980, 0481; 1980, 0482; 1980, 0483; 1979, 0250; 1979, 0251; 1979, 0252; 1979, 0253.","","","","Hildebrandt","2004-08-10"
"B002357","N","Déjardins, V.","Deux inscriptions chrétiennes d'Albulae.","BSGAO","60","1939","48-49","","1985, 0988.","","","","Admin","2002-04-26"
"B002358","N","De Pachtère, F.-G.","Inscriptions romaines d'Aïn-Temouchent.","BSGAO","31","1911","564-566","","1985, 0980; 1985, 0983.","","","","Gräf","2009-09-02"
"B002359","N","Paci, G.","Il ritrovamento nell'alveo del fiume Potenza.","BA","28","1984","40-52","","1985, 0354; 1985, 0355; 1985, 0356.","","","","Hildebrandt","2004-08-23"
"B002360","N","Allora, W.","Note epigrafiche.","Athenaeum","31","1953","241-258","","1984, 0099; 1955, 0024; 1955, 0025.","","","","Feraudi","2018-07-12"
"B002361","N","Solin, H.","Urnen und Inschriften. Erwägungen zu einem Corpus römischer Urnen.","Tyche","4","1989","148-169","","1984, 0099; 1955, 0024.","","","","Hildebrandt","2004-07-22"
"B002362","N","Degrassi, A.","Epigraphica II.","MAL","11","1962-1965","233-276","","1966, 0072; 1966, 0085; 1966, 0086; 1966, 0087; 1966, 0088; 1966, 0089; 1966, 0090; 1966, 0091; 1966, 0092; 1966, 0093; 1966, 0094; 1966, 0095; 1966, 0096; 1966, 0097; 1966, 0098; 1966, 0099; 1966, 0101; 1966, 0131; 1966, 0133; 1966, 0136; 1966, 0137; 1966, 0138; 1966, 0139; 1966, 0140; 1966, 0141; 1966, 0142; 1966, 0143; 1966, 0145; 1966, 0146; 1966, 0147; 1966, 0149; 1966, 0150; 1966, 0151; 1966, 0152; 1966, 0153; 1966, 0154; 1966, 0155; 1966, 0157.","","","ILJug 0416.","Feraudi","2004-09-29"
"B002363","N","Audin, A. - Reynaud, J.-F.","Le mur des bords de Saône et ses inscriptions antiques au Musée de la Civilisation Gallo-Romaine à Lyon.","BMusMonLyon","6","1977-1981","457-479","","1980, 0634; 1980, 0635.","","13, 01700.","","Feraudi","2004-12-02"
"B002364","N","Piso, I.","Epigraphica (XII).","ActaMusNapoca","17","1980","81-89","","1980, 0734; 1980, 0735; 1980, 0736.","","03, 07756; 03, 07795.","","Gräf","2004-12-08"
"B002365","N","Medini, J.","IOVILAE zavjet iz Burnuma. (Mit französischer Zusammenfassung)","RadSveučilišteSplitFilFak","18","1978/79","137-165","","1980, 0688.","","03, 09898.","","Gräf","2008-09-29"
"B002366","N","Suić, M.","Faze izgradnje bedema stare Varvarije. Uz jedan novi natpis iz Bribira.","In: I. Erceg - A. Horvat - I. Mazuran - M. Suić (Hrsg.), Gunjačin Zbornik: u povodu Sedamdesete godine života i cetrdeset i pete godine znanstvenog rada. (Miscellanea S. Gunjača septuagenario dicata).","","1980","32-42","Zagreb","1980, 0693.","","","","Gräf","2005-01-14"
"B002367","N","Kirigin, B.","Tip helenisticke stele u Naroni. (Mit englischer Zusammenfassung)","In: Dolina rijeke Neretve od prehistorije do ranog srednjog vijeka: znastveni skup Metković 1977. Izdanja Hrvatskog Arheološkog Društva.","5","1980","169-172","Split","1980, 0679.","","","","Gräf","2008-09-29"
"B002368","N","Giordano, C.","Iscrizioni graffite e dipinte nella Casa di C. Giulio Polibio.","RAAN","49","1974","21-28","","1977, 0214; 1977, 0215; 1977, 0216; 1977, 0217; 1977, 0218; 1977, 0219; 1977, 0220; 1977, 0221; 1977, 0222; 1977, 0223; 1977, 0224; 1977, 0225; 1985, 0281; 1985, 0282; 1985, 0283; 1985, 0284; 1985, 0285; 1985, 0286; 1985, 0287; 1985, 0288; 1985, 0289; 1985, 0290; 1985, 0291.","","","","Hildebrandt","2004-09-21"
"B002369","N","Fasola, U.M.","Scoperta di un probabile santuario di martiri in una regione post-costantiniana della Catacomba ""Ad duas lauros''.","RPAA","55/56","1982/83","341-359","","1985, 0053; 1985, 0054.","","","","Feraudi","2004-12-07"
"B002370","N","Vaglieri, D.","Regione I (Latium et Campania). Latium. III. Ostia. Ricerche nell'area delle tombe, e scoperte varie di antichità.","NSA","8","1911","81-94","","1911, 0195; 1911, 0196.","","","","Gräf","2007-10-12"
"B002371","N","Gostar, N.","Unitatile militare din ""castellum'' roman de la Barbosi.","Danubius","1","1967","107-113","","1980, 0824.","","","IScM 5, 221.","Gräf","2006-10-04"
"B002372","N","Csalog, J. - Alföldi, A.","Katonai elbocsájtó-okmány Regölyből.","AErt","4","1943","100-112","","1944, 0102; 1947, p. 16 s. n. 30.","","","","Feraudi","2016-09-09"
"B002373","N","Josifovska, B.","Le monument funéraire de L. Apuleius Valens, vétéran de la légion V macedonica.","ZborMuzSkopje","1","1955/56","78-89","","1961, 0125.","","","ILJug 0029; IMS 6, 043.","Hildebrandt","2004-10-04"
"B002374","N","Bojanovski, I.","Noviji rimski epigrafski nalazi s Glamočkog polja. (Mit französischer Zusammenfassung)","GlasSarajevo","33","1978","115-126","","1980, 0692.","","","","Gräf","2008-09-26"
"B002375","N","Mirković, M.","Iz istorije u rimsko doba. (Mit deutscher Zusammenfassung)","GodAkSarajevo","14","1975","95-108","","1980, 0695; 1980, 0696; 1980, 0697; 1980, 0698; 1980, 0699; 1980, 0700; 1980, 0701; 1980, 0702; 1980, 0703.","","","ILJug 1691.","Gräf","2009-10-06"
"B002376","N","Monteiro, J.A.","Término de Perovisen na Lusitânia Romana.","Conimbriga","13","1974","57-61","","1976, 0273.","","","","Hildebrandt","2004-08-10"
"B002377","N","Bojanovski, I.","Prilozi za topografiju rimskih i predrimskih komunikacija i našelja u rimskoj provinciji Dalmaciji. (S posemnim obzirom na podrucje Bosne i Hercegovine.) (Mit französischer Zusammenfassung)","GodAkSarajevo","17","1978","51-125","","1980, 0680; 1980, 0681; 1980, 0682; 1980, 0683.","","03, 13305; 17, 04, 00396.","ILJug 1022; ILJug 1026; ILJug 2974.","Gräf","2014-09-25"
"B002378","N","Sergejevski, D.","Rimska cesta na Nevesinjskom Polju. (Mit französischer Zusammenfassung)","GlasSarajevo","3","1948","43-61","","1980, 0681.","","17, 04, 00396.","ILJug 1022.","Gräf","2014-09-25"
"B002379","N","Florescu, G.","Fouilles et recherches archéologiques a Calachioi (Capidava?) en 1924 et 1926.","Dacia","3/4","1927-1932","483-515","","1980, 0802; 1934, 0102; 1934, 0103; 1934, 0104; 1934, 0105; 1934, 0106; 1934, 0107; 1934, 0108; 1934, 0109; 1934, 0110; 1934, 0111.","","","IScM 5, 015; IScM 5, 033.","Gräf","2006-10-20"
"B002380","N","Šašel, J.","Aditus ad aquam. K študiju pastirstva in transhumance na tleh Velebita in Julijskih Alp v antiki.","Traditiones","5/6","1976/77","353-360","","1980, 0498.","","03, 15053.","","Feraudi","2004-12-01"
"B002381","N","Florescu, G.","Noi descoperiri archeologice la Seimenii-Mari.","BCM","17","1924","88-90","","1980, 0797; 1980, 0798.","","","IScM 5, 001; IScM 5, 002.","Gräf","2006-09-26"
"B002382","N","Gasperini, L.","Taranto tardo-imperiale e la sua cristianizzazione.","In: MGR","7","1980","563-580","Roma","1980, 0350.","","","","Gräf","2004-07-02"
"B002383","N","Dragomir, I.T.","Două basoreliefuri dionisiace descoperite la Făgăraşul Nou (r. Hirsova, reg. Dobrogea). (Mit französischer Zusammenfassung)","StCercIstorV","13","1962","421-429","","1963, 0167; 1980, 0817.","","","IScM 5, 133.","Gräf","2006-10-30"
"B002384","N","Pârvan, V.","Descoperiri nouă in Scythia Minor.","MAR(H)","35, 2","1912/13","467-550","Bucureşti","1980, 0818; 2008, 1196.","","","CCET 4, 111; IScM 5, 135.","Gräf","2013-05-22"
"B002385","N","Weiß, J.","Bauinschrift aus Troesmis.","JŒAI (Beibl.)","16","1913","209-210","","1980, 0818; 1920, 0054.","","","IScM 5, 135.","Gräf","2006-09-28"
"B002386","N","Dragomir, T.","Un nou monument sculptural al lui Iupiter Dolichenus de la Cerna. (Mit französischer Zusammenfassung)","StCercIstorV","15","1964","535-543","","1980, 0823.","","","IScM 5, 219; CCID 062.","Gräf","2011-10-06"
"B002387","N","Baumann, V.H.","Despre un stîlp miliar descoperit la Mînastirea Saun. (Mit französischer Zusammenfassung)","Pontica","10","1977","325-331","","1980, 0831.","","","IScM 5, 250bis.","Gräf","2006-09-29"
"B002388","N","Gasperini, L.","Su alcune epigrafi di Taranto romana.","In: MGR","2","1968","379-398","Roma","1980, 0351; 1980, 0352; 1946, 0212; 1969/70, 0132; 1969/70, 0133.","","09, 00235; 09, 06155; 09, 06156; 09, 06157.","","Imhoff","2004-10-13"
"B002389","J","Fraschetti, A.","La mort d'Agrippa et l'autel du Belvédère: un certain type d'hommage.","MEFR","92","1980-1982","957-976","","1980, 0040.","","06, 00876.","ILS 0083.","Hildebrandt","2004-10-04"
"B002390","N","Faccenna, D.","Materiale scultoreo ed epigrafico esistente nella Villa dei Conit Colleoni presso la Villa Adriana.","NSA","11","1957","143-147","","1980, 0190; 1980, 0191; 1980, 0192.","","","","Hildebrandt","2004-08-10"
"B002391","N","Faccenna, D.","(Via Tiburtina - km. 24,500). - Sarcofago marmoreo e cippo funerario.","NSA","11","1957","120-122","","1980, 0188.","","","","Admin","2002-04-26"
"B002392","N","Pontiroli, G.","Stele di T. Aponius signifer legionis IX Hispaniensis nel territorio cremonese.","RIL","105","1971","149-156","","1975, 0446.","","","","Gräf","2004-12-08"
"B002393","N","Caprara, R.","Una epigrafe cristiana da Massafra.","VetChr","8","1971","147-154","","1980, 0350.","","","","Grimmig","2005-04-13"
"B002394","J","Franklin, J.L.","Notes on Pompeian prosopography: Programmatum scriptores.","CronPomp","4","1978","54-74","","1980, 0263.","","","","Grimmig","2004-09-22"
"B002395","J","Vidman, L.","Die Stadtpräfektur des Q. Lollius Urbicus und Apuleius, Apologia 2-3.","AArchSlov","28","1977","373-384","","1980, 0185.","","","","Feraudi","2004-07-06"
"B002396","J","Morris, J. - Roxan, M.M.","The witnesses to Roman military diplomata.","AArchSlov","28","1977","299-333","","1980, 0025.","","","","Grimmig","2004-10-13"
"B002397","J","Birley, A.R.","The origin and career of Q. Pompeius Falco.","AArchSlov","28","1977","360-368","","1980, 0202.","","10, 06321.","ILS 1035.","Feraudi","2020-01-03"
"B002398","N","Gerov, B.","Romanismăt meždu Dunava i Balkana et Hadrian do Konstantin Veliki.","AUS","48","1952/53","307-409","","1982, 0848.","","","","Grimmig","2004-11-29"
"B002399","N","Pflaum, H.-G.","Claudius Septimus, praeclarus discobolos - un faux.","ZPE","38","1980","137-140","","1980, 0998.","","","","Admin","2002-04-26"
"B002400","N","Bernardini, M.","Regione II (Apulia). XXI - Penisola Salentina - Ritrovamenti vari.","NSA","11","1957","400-418","","1980, 0342.","","","","Admin","2002-04-26"
"B002401","N","Curri, C.B.","Vetulonia.","Forma Italiae, Regio VII","5, 1","1978","206","Firenze","1980, 0430.","","","","Gräf","2005-01-26"
"B002402","N","Euzennat, M.","Fragments inédits de bronzes épigraphiques marocains.","AntAfr","3","1969","115-132","","1980, 0992; 1980, 0994; 1969/70, 0739; 1969/70, 0740; 1969/70, 0741; 1969/70, 0742; 1969/70, 0743; 1969/70, 0744; 1969/70, 0745; 1969/70, 0746; 1969/70, 0747.","","","","Hildebrandt","2004-08-09"
"B002403","N","Euzennat, M. - Marion, J.","Inscriptions nouvelles du Maroc 1958-1960.","BAM","4","1960","565-582","","1980, 0996; 1980, 0992.","","","","Hildebrandt","2004-08-16"
"B002404","N","Rebuffat, R.","Le rempart et l'histoire d'Aleria.","ACors","8/9","1983/84","96-102","","1985, 0489; 1964, 0050.","","10, 08034.","","Hildebrandt","2004-07-29"
"B002405","N","Pârvan, V.","Adaos.","BCM","5","1912","122-124","","1980, 0844.","","","IScM 5, 296.","Gräf","2006-10-05"
"B002406","J","Bermejo Barrera, J.C.","Variaciones sobre el tema de la centuria.","CuadGallegos","31","1978-1980","95-116","","1980, 0536.","","","","Feraudi","2004-12-06"
"B002407","N","Velichi, N.","Necropola şi altarul votiv dela Serdaru (Şendreni), judeţul Covurlui.","BCM","5","1912","120-122","","1980, 0844.","","","IScM 5, 296.","Grimmig","2005-09-26"
"B002408","N","Dumasy, F.","Les peintures murales de la villa des Boueix-Cujasseix à Rougnat (Creuse).","In: Peinture murale en Gaule. Actes des Séminaires de Limoges (1980) et Sarrebourg (1981).","","1984","13-24","Nancy","1984, 0639.","","","","Grimmig","2004-11-03"
"B002409","N","Michaud, J.-P.","Chronique des fouilles et découvertes archéologiques en Grèce en 1971.","BCH","96","1972","593-816","","1980, 0854; 1974, 0600.","","","","Hildebrandt","2004-08-09"
"B002410","N","Fita, F.","De Clunia à Tricio. Viaje epigráfico.","BAHist","50","1907","271-310","","1983, 0601.","","","","Admin","2002-04-26"
"B002411","N","Wright, R.P. - Hassall, M.W.C.","Roman Britain in 1971. II. Inscriptions.","Britannia","3","1972","352-367","","1975, 0534; 1975, 0535; 1975, 0536; 1975, 0537; 1975, 0539; 1975, 0540; 1975, 0541; 1975, 0545; 1975, 0547; 1975, 0550; 1975, 0551; 1975, 0552; 1975, 0558; 1975, 0563; 1975, 0564; 1975, 0571; 1975, 0572; 1975, 0575; 1975, 0576; 1975, 0580.","","","RIB 1132.","Cowey","2015-07-14"
"B002412","N","Nicorescu, P.","Liber-Dionysos. Două inedite.","BCM","8","1915","41-45","","1980, 0222.","","","","Grimmig","2005-10-12"
"B002413","N","Moisil, C.","Noi inscripţii antice din Dobrogea.","BCM","3","1910","95","","1980, 0843.","","","IScM 5, 287.","Gräf","2007-03-19"
"B002414","N","Speidel, M.P.","Lixa of the third Thracian cohort in Syria. A new inscription.","ZPE","38","1980","146-148","","1980, 0887; 1990, 1012.","","","","Grimmig","2004-09-22"
"B002415","N","MacAdam, H.I.","The identity of Ammius Flaccus, governor of Arabia.","ZPE","38","1980","72-74","","1980, 0889.","","","","Grimmig","2004-10-13"
"B002416","N","Heinen, H.","Zwei neue römische Soldatengrabsteine aus Ägypten.","ZPE","38","1980","115-124","","1980, 0894; 1980, 0895.","","","","Hildebrandt","2004-08-16"
"B002417","N","Marcillet-Jaubert, J.","Le legat de Numidie A. Iulius Pompilius Piso T. Vibius Laevillus ...atus Berenicianus.","AArchSlov","28","1977","346-359","","1980, 0952; 1980, 0953; 1980, 0954; 1941, 0156; 1933, 0042.","","08, 02745.","","Feraudi","2004-12-08"
"B002418","N","Oliver, J.H.","Greek applications for the Roman trials.","AJPh","100","1979","543-558","","1980, 0860; 1974, 0629.","","","","Grimmig","2004-09-16"
"B002419","N","Drew-Bear, T.","An act of foundation at Hypaipa.","Chiron","10","1980","309-336","","1980, 0864.","","","","Grimmig","2004-09-08"
"B002420","N","Jacopi, G.","Gli scavi della Missione Archeologica Italiana ad Afrodisiade nel 1937.","MonAL","38","1939","73-232","","1980, 0870.","","","","Gräf","2013-02-01"
"B002421","N","Reynolds, J.M.","The origins and beginning of imperial cult at Aphrodisias.","PCPhS","206","1980","71-84","","1980, 0866; 1980, 0867; 1980, 0868; 1980, 0869; 1980, 0870; 1980, 0871; 1980, 0872; 1980, 0873; 1980, 0874; 1980, 0875; 1980, 0876; 1980, 0877.","","","MAMA 08, 446.","Gräf","2004-11-19"
"B002422","J","Bastianini, G.","Lista dei prefetti d'Egitto dal 30 a al 299 p.","ZPE","38","1980","75-89","","1980, 0891.","","","","Admin","2002-04-26"
"B002423","N","Hallof, L. - Hallof, K.","Eine römische Inschrift im Steinsburgmuseum Römhild.","Klio","68","1986","487-489","","1980, 0736.","","","","Gräf","2007-04-19"
"B002424","N","Mitchell, S.","R.E.C.A.M. Notes and studies no. 5. A Roman familiy in Phrygia.","AS","29","1979","13-22","","1980, 0879; 1980, 0880; 1980, 0881.","","","","Grimmig","2004-10-06"
"B002425","N","Robert, L.","II. Aphrodisias.","HellRecEpNum","13","1965","109-238","","1980, 0866; 1981, 0763.","","","MAMA 08, 446.","Gräf","2009-02-06"
"B002426","J","Wellner, I.","Leletmentések az aquincumi canabae déli szélénél.","BR","22","1971","411-418","","1972, 0382.","","","TitAq 0644.","Feraudi","2015-02-13"
"B002427","J","Oliver, J.H.","The Helladarch.","RSA","8","1978","1-6","","1980, 0852.","","","","Admin","2002-04-26"
"B002428","N","Naour, C.","Tyriaion en Cabalide.","ZPE","29","1978","91-114","","1984, 0884.","","","","Admin","2002-04-26"
"B002429","N","Hammond, N.G.L.","Epirus.","","","1967","847 S.","Oxford","1980, 0848; 1980, 0849; 1980, 0850; 1980, 0851.","","","SEG 24, 0443.","Gräf","2012-03-02"
"B002430","N","Naour, C.","Tyriaion en Cabalide: Epigraphie et géographie historique.","","","1980","126","Zutphen","1980, 0883; 1980, 0884; 1980, 0885.","","","","Hildebrandt","2004-09-23"
"B002431","N","Dragojević-Josifovska, B.","Epigrafski prilozi iz Radišana kod Skopja.","ZAnt","27","1977","449-460","","1980, 0847; 1977, 0737; 1977, 0739; 1977, 0735; 1977, 0736; 1977, 0738.","","","IMS 6, 087; IMS 6, 107; IMS 6, 087; IMS 6, 093; IMS 6, 140; IMS 6, 143.","Feraudi","2004-12-07"
"B002432","J","Mann, J.C.","Legionary recruitment and veteran settlement during the principate.","","","1983","184","London","1986, 0008.","","","","Hildebrandt","2004-09-23"
"B002433","N","D'Ambrosio, A.","Schede epigrafiche. 7. - 10. Puteoli.","Puteoli","7/8","1983/84","307-312","","1986, 0160; 1986, 0161; 1986, 0162; 1986, 0163.","","","","Feraudi","2004-12-07"
"B002434","N","Camodeca, G.","Schede epigrafiche. 5. Puteoli.","Puteoli","7/8","1983/84","303-305","","1986, 0158.","","10, 02492.","","Admin","2002-04-26"
"B002435","N","Macro, A.D.","A confirmed asiarch.","AJPh","100","1979","94-98","","1980, 0865.","","","CIG 2781.","Grimmig","2004-09-15"
"B002436","J","Eck, W.","Prokonsuln und militärisches Kommando.","In: W. Eck - H. Wolff (Hrsg.), Heer und Integrationspolitik. Die römischen Militärdiplome als historische Quelle.","","1986","518-534","Köln - Wien - Böhlau","1986, 0007.","","","","Gräf","2004-11-05"
"B002437","J","Wolff, H.","Die Entwicklung der Veteranenprivilegien vom Beginn des 1. Jahrhunderts v. Chr. bis auf Konstantin d. Gr.","In: W. Eck - H. Wolff (Hrsg.), Heer und Integrationspolitik. Die römischen Militärdiplome als historische Quelle.","","1986","518-534","Köln - Wien - Böhlau","1986, 0009.","","","","Gräf","2004-11-05"
"B002438","N","Panciera, S.","Due famiglie senatorie di origine africana e una di origine italica: Aradii, Calpurnii e Suetrii alla luce di una nuova iscrizione urbana.","In: A. Mastino (Hrsg.), L'Africa romana. Atti del III Convegno di Studio su ""L'Africa romana"", Sassari 1985.","","1986","251-262","Sassari","1986, 0029.","","","","Feraudi","2009-12-30"
"B002439","J","Kettenhofen, E.","Zur Siegestitulatur Kaiser Aurelians.","Tyche","1","1986","138-146","","1986, 0001.","","","","Admin","2002-04-26"
"B002440","J","von Petrikovits, H.","Die Spezialisierung des römischen Handwerks II (Spätantike).","ZPE","43","1981","285-306","","1986, 0013.","","","","Grimmig","2004-11-08"
"B002441","N","Cébeillac-Gervasoni, M.","Due iscrizioni inedite di Sinuessa.","PP","41","1986","64-72","","1986, 0153; 1986, 0154.","","","","Hildebrandt","2004-08-23"
"B002442","N","Le Roux, P.","L'armée romaine au quotidien: deux graffiti légionnaires de Pompei et Rome.","Epigraphica","45","1983","65-77","","1982, 0015.","","","","Feraudi","2004-12-07"
"B002443","J","Rémy, B.","Une famille de sénateurs d'Asie Mineure: Les Ti. Iulii Frugi.","Epigraphica","45","1983","79-93","","1986, 0003.","","","","Gräf","2004-12-08"
"B002444","N","Roberti, G.","Il ""Corpus"" dei relitti del paganesimo romano nella Venezia Tridentina.","StTrentStor","30","1951","3-27","","1977, 0290.","","","","Admin","2002-04-26"
"B002445","N","Camodeca, G.","Una nuova iscrizione senatoria puteolana dell'età di Marco Aurelio.","Puteoli","7/8","1983/84","79-92","","1986, 0155; 1986, 0184; 1986, 0185; 1986, 0177; 1986, 0178; 1986, 0173; 1982, 0203; 1982, 0205; 1984, 0240; 1982, 0200; 1982, 0196.","","","","Hildebrandt","2004-08-16"
"B002446","N","Parma, A.","Schede epigrafiche. 1., 3., 4., 6. Puteoli.","Puteoli","7/8","1983/84","295-306","","1986, 0157; 1986, 0159.","","10, 01740; 10, 02109.","ILS 1448.","Imhoff","2004-10-13"
"B002447","N","Pagano, M.","Schede epigrafiche. 2. Puteoli.","Puteoli","7/8","1983/84","298-299","","1986, 0156.","","","","Gräf","2004-12-07"
"B002448","J","Christol, M.","Essai sur l'évolution des carrières sénatoriales dans la 2e motié du IIIe s. ap. J.-C.","","","1986","354","Paris","1986, 0002.","","","","Hildebrandt","2004-09-23"
"B002449","N","Loreti, E.M. - Urbani, L.","I ritrovamenti epigrafici. D - Ancora epigrafi di provenienza ignota.","In: L. Avetta (Hrsg.), Roma - via Imperiale. Scavi e scoperte (1937-1950) nella costruzione di via delle Terme di Caracalla e di via Cristoforo Colombo, Tituli","3","1985","179","Roma","1988, 0072.","","","","Gräf","2004-12-01"
"B002450","J","Sacco, G.","Iscrizioni greche d'Italia. Porto.","","","1984","126","Roma","1986, 0116.","","","","Gräf","2004-11-08"
"B002451","N","Velkov, V.","Die Reihenfolge der untermösischen Statthalter (270-300).","AArchSlov","28","1977","421-424","","1980, 0793, 1; 1980, 0793, 2.","","","","Gräf","2008-05-30"
"B002452","N","Bartoli, A.","Il senato romano in onore di Ezio.","RPAA","22","1946/47","267-273","","1950, 0030; 1972, 0066.","","","","Hildebrandt","2004-09-23"
"B002453","J","Mrozek, S.","La fondation CIL XIV 431 d'Ostie et ""l'inflation"" romaine.","AArchSlov","28","1977","406-411","","1980, 0182.","","14, 00431.","","Gräf","2004-12-01"
"B002454","J","Mennella, G.","Il quaestor alimentorum.","In: MGR","10","1986","371-419","Roma","1986, 0110.","","","","Gräf","2004-07-02"
"B002455","N","Solin, H. - Volpe, R.","I graffiti della Domus Aurea.","In: Miscellanea, Tituli","2","1980","81-93","Roma","1986, 0015.","","","","Gräf","2004-08-13"
"B002456","N","Sabbatini Tumolesi, P.","A proposito di CIL VI 31917 da Praeneste(?).","BCAR","89","1984","29-34","","1986, 0121; 1985, 0040 (G.).","","06, 31917.","ILS 5662.","Gräf","2004-12-08"
"B002457","N","Buonocore, M.","Disposizione testamentaria in un frammento epigrafico da Sulmo.","In: MGR","10","1986","353-359","Roma","1986, 0219.","","","","Gräf","2004-07-02"
"B002458","N","Manacorda, D.","Considerazioni sull'epigrafia della regione di Cosa.","Athenaeum","57","1979","73-97","","1986, 0236; 1979, 0229; 1979, 0230; 1979, 0231; 1979, 0232; 1979, 0233; 1979, 0234.","","","","Gräf","2004-09-20"
